start,end,speaker,text
0.0,0.4,SPEAKER_00, um
0.4,2.18,SPEAKER_00, great
0.4,2.18,SPEAKER_00, great
2.18,2.96,SPEAKER_00, um
2.96,5.5,SPEAKER_00, so
5.5,6.26,SPEAKER_00, you
6.26,6.56,SPEAKER_00, opened
6.56,6.72,SPEAKER_00, the
6.72,6.9,SPEAKER_00, book
6.9,7.06,SPEAKER_00, with
7.06,7.34,SPEAKER_00, this
7.34,7.68,SPEAKER_00, um
7.68,7.98,SPEAKER_00, kind
7.98,8.06,SPEAKER_00, of
8.06,8.2,SPEAKER_00, nice
8.2,8.54,SPEAKER_00, anecdote
8.54,8.8,SPEAKER_00, about
8.8,9.36,SPEAKER_00, you
9.36,9.62,SPEAKER_00, as
9.62,9.76,SPEAKER_00, a
9.76,10.1,SPEAKER_00, teenager
10.1,10.9,SPEAKER_00, when
10.9,11.2,SPEAKER_00, you
11.2,11.44,SPEAKER_00, had
11.44,11.76,SPEAKER_00, this
11.76,12.22,SPEAKER_00, uh
12.22,12.68,SPEAKER_00, you
12.68,12.8,SPEAKER_00, were
12.8,13.62,SPEAKER_00, essentially
13.62,13.78,SPEAKER_00, in
13.78,13.86,SPEAKER_00, a
13.86,14.1,SPEAKER_00, virtual
14.1,14.48,SPEAKER_00, classroom
14.48,14.58,SPEAKER_00, i
14.58,14.74,SPEAKER_00, guess
14.74,14.88,SPEAKER_00, or
14.88,14.98,SPEAKER_00, in
14.98,15.06,SPEAKER_00, a
15.06,15.26,SPEAKER_00, physical
15.26,15.64,SPEAKER_00, classroom
15.64,15.84,SPEAKER_00, but
15.84,16.44,SPEAKER_00, i
16.44,16.52,SPEAKER_00, had
16.52,16.58,SPEAKER_00, a
16.58,16.84,SPEAKER_00, virtual
16.84,17.22,SPEAKER_00, teacher
17.22,17.68,SPEAKER_00, um
17.68,19.16,SPEAKER_00, and
17.68,19.16,SPEAKER_00, and
19.16,19.36,SPEAKER_00, then
19.36,19.78,SPEAKER_00, i'm
19.78,19.96,SPEAKER_00, curious
19.96,20.16,SPEAKER_00, about
20.16,20.32,SPEAKER_00, what
20.32,20.62,SPEAKER_00, happened
20.62,21.0,SPEAKER_00, in
21.0,21.28,SPEAKER_00, like
21.28,21.38,SPEAKER_00, the
21.38,21.58,SPEAKER_00, 20
21.58,21.8,SPEAKER_00, years
21.8,22.02,SPEAKER_00, between
22.02,22.32,SPEAKER_00, then
22.32,22.54,SPEAKER_00, and
22.54,22.68,SPEAKER_00, when
22.68,22.78,SPEAKER_00, you
22.78,23.14,SPEAKER_00, actually
23.14,23.32,SPEAKER_00, got
23.32,23.42,SPEAKER_00, to
23.42,23.52,SPEAKER_00, write
23.52,23.68,SPEAKER_00, this
23.68,23.86,SPEAKER_00, book
23.86,23.98,SPEAKER_00, i
23.98,24.16,SPEAKER_00, guess
24.16,24.36,SPEAKER_00, that
24.36,24.78,SPEAKER_00, um
24.78,25.34,SPEAKER_00, you
25.34,25.52,SPEAKER_00, know
25.52,27.04,SPEAKER_00, took
25.52,27.04,SPEAKER_00, took
27.04,27.16,SPEAKER_00, it
27.16,27.28,SPEAKER_00, from
27.28,27.4,SPEAKER_00, like
27.4,27.48,SPEAKER_00, a
27.48,27.7,SPEAKER_00, personal
27.7,28.06,SPEAKER_00, experience
28.06,28.24,SPEAKER_00, to
28.24,28.36,SPEAKER_00, like
28.36,28.64,SPEAKER_00, this
