speaker,start,end,text
SPEAKER_00,0.0,31.88, um  great  um  so  you  opened  the  book  with  this  um  kind  of  nice  anecdote  about  you  as  a  teenager  when  you  had  this  uh  you  were  essentially  in  a  virtual  classroom  i  guess  or  in  a  physical  classroom  but  i  had  a  virtual  teacher  um  and  then  i'm  curious  about  what  happened  in  like  the  20  years  between  then  and  when  you  actually  got  to  write  this  book  i  guess  that  um  you  know  took  it  from  like  a  personal  experience  to  like  this  more  analytical  academic  one  uh  yeah
SPEAKER_01,30.86,35.2, yeah  so  what
SPEAKER_00,31.88,32.8, so
SPEAKER_01,35.2,42.42, happened  was  so  the  pandemic  hit  was  the  first  time  i  had  to  teach  virtual  class  and
SPEAKER_02,41.3,42.42, and
SPEAKER_01,42.42,98.0, you  know  i  was  thinking  a  lot  about  internet  connectivity  because  there  were  two  people  zooming  all  day  long  in  the  house  of  you  know  in  our  400  square  foot  apartment  in  new  york  city  know  thinking  a  lot  very  practically  about  internet  connectivity  thinking  a  lot  about  zoom  classrooms  and  like  how  to  be  an  effective  teacher  online  uh  as  well  as  you  know  dealing  with  the  whole  collapse  of  the  social  like  further  collapse  of  the  social  contract  and  you  know  infrastructural  decline  the  increase  of  surveillance  with  you  know  online  all  sorts  of  activities  going  online  right  and  so  i  was  thinking  a  lot  about  how  things  might  be  otherwise  um  and  like  thinking  about  this  moment  as  a  moment  of  rupture  to  you
SPEAKER_02,92.26,92.82, um
SPEAKER_01,98.0,182.48, know  sort  of  begin  building  for  something  else  or  begin  thinking  about  something  else  um  and  i  you  know  i'm  prone  to  thinking  a  lot  about  internet  infrastructure  my  dissertation  was  about  uh  internet  protocols  um  and  that's  part  of  that  dissertation  or  some  um  you  know  offshoots  of  that  dissertation  and  subsequent  field  work  is  in  one  of  the  chapters  of  this  book  um  but  i  was  really  starting  to  think  about  you  know  as  everything  went  online  like  how  does  internet  connectivity  undergird  all  of  this  stuff  that  i  was  then  teaching  about  in  these  online  classes  like  you  know  surveillance  technology  social  decay  political  economic  concerns  around  um  you  know  various  technological  practices  or  platforms  things  like  that  um  and  also  i  teach  a  lot  about  like  social  movement  um  literature  in  my  classes  as  it  relates  to  it  or  as  it  might  relate  to  technology  because  even  in  2020  there  is  a  lot  around  that  right  um  and  so  this  book  really  came  out  of  of  the  need  for  sort  of  what  i  want  to  say  say  like  um  drawing  together  some  of  the  strands  that  i  had  been  thinking  about  and  teaching  about  and  researching  about  in  a  way  that  i  could  articulate  in
SPEAKER_02,180.06,180.56, in
SPEAKER_01,182.48,217.76, a  meaningful  way  to  like  students  or  policymakers  that  i  talk  to  or  community  groups  that  i  engage  with  like  in  activist  projects  or  you  know  my  mother -in -law  right  like  i  needed  something  that  sort  of  brings  all  of  this  stuff  together  in  an  in  an  an  easy  and  and  somewhat  digestible  way  like  listen  this  is  an  academic  book  and  i  wrote  it  as  part  of  my  job  and  it  has  to  be  on  an  academic  press  and  reviewed  by  you  know  academics  so  there  is  you  know  the  academic  language  but  i  think  at  its  core  it's  a  very  simple  project  it's
SPEAKER_03,216.78,217.76, it's
SPEAKER_01,217.76,253.9, about  you  know  how  might  we  think  about  our  contemporary  moment  when  the  world  is  increasingly  a  scam  we're  emiserated  you  know  um  technology  companies  are  seeking  to  you  know  squeeze  every  bit  of  value  out  of  all  of  us  and  our  ecologies  and  our  relationships  as  they  can  how  might  we  push  back  where  are  people  already  pushing  back  how  can  we  learn  from  them  and  you  know  how  are  how  is  what  is  happening  at  present  good  but  how  can  we  build  on  it  or  like  you  know  good  but  not  enough  and  then  how  can  we  build  on  it
SPEAKER_03,253.9,255.08, yeah  so
